,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
85,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/149-rallye-automobile-monte-carlo-2008/10987/,2008,1,Null,149-rallye-automobile-monte-carlo-2008,120.0,121.0,/final/149-rallye-automobile-monte-carlo-2008/,149-rallye-automobile-monte-carlo-2008,2008.0
665,Mikko Hirvonen,Uddeholm Swedish Rally,/entryinfo/150-uddeholm-swedish-rally-2008/11227/,2008,2,Null,150-uddeholm-swedish-rally-2008,121.0,122.0,/final/150-uddeholm-swedish-rally-2008/,150-uddeholm-swedish-rally-2008,2008.0
84,Sébastien Loeb,Uddeholm Swedish Rally,/entryinfo/150-uddeholm-swedish-rally-2008/11225/,2008,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",150-uddeholm-swedish-rally-2008,121.0,122.0,/final/150-uddeholm-swedish-rally-2008/,150-uddeholm-swedish-rally-2008,2008.0
83,Sébastien Loeb,Corona Rally Mexico,/entryinfo/151-corona-rally-mexico-2008/11385/,2008,1,Null,151-corona-rally-mexico-2008,122.0,123.0,/final/151-corona-rally-mexico-2008/,151-corona-rally-mexico-2008,2008.0
664,Mikko Hirvonen,Corona Rally Mexico,/entryinfo/151-corona-rally-mexico-2008/11387/,2008,4,Null,151-corona-rally-mexico-2008,122.0,123.0,/final/151-corona-rally-mexico-2008/,151-corona-rally-mexico-2008,2008.0
82,Sébastien Loeb,Rally Argentina,/entryinfo/152-rally-argentina-2008/12019/,2008,1,Null,152-rally-argentina-2008,123.0,124.0,/final/152-rally-argentina-2008/,152-rally-argentina-2008,2008.0
663,Mikko Hirvonen,Rally Argentina,/entryinfo/152-rally-argentina-2008/12021/,2008,5,Null,152-rally-argentina-2008,123.0,124.0,/final/152-rally-argentina-2008/,152-rally-argentina-2008,2008.0
662,Mikko Hirvonen,Jordan Rally,/entryinfo/153-jordan-rally-2008/12463/,2008,1,Null,153-jordan-rally-2008,124.0,125.0,/final/153-jordan-rally-2008/,153-jordan-rally-2008,2008.0
81,Sébastien Loeb,Jordan Rally,/entryinfo/153-jordan-rally-2008/12461/,2008,1,Null,153-jordan-rally-2008,124.0,125.0,/final/153-jordan-rally-2008/,153-jordan-rally-2008,2008.0
661,Mikko Hirvonen,Rally d'Italia Sardegna,/entryinfo/154-rally-ditalia-sardegna-2008/14603/,2008,2,Null,154-rally-ditalia-sardegna-2008,125.0,126.0,/final/154-rally-ditalia-sardegna-2008/,154-rally-ditalia-sardegna-2008,2008.0
80,Sébastien Loeb,Rally d'Italia Sardegna,/entryinfo/154-rally-ditalia-sardegna-2008/14604/,2008,1,Null,154-rally-ditalia-sardegna-2008,125.0,126.0,/final/154-rally-ditalia-sardegna-2008/,154-rally-ditalia-sardegna-2008,2008.0
660,Mikko Hirvonen,BP Ultimate Acropolis Rally of Greece,/entryinfo/155-bp-ultimate-acropolis-rally-of-greece-2008/15652/,2008,3,Null,155-bp-ultimate-acropolis-rally-of-greece-2008,126.0,127.0,/final/155-bp-ultimate-acropolis-rally-of-greece-2008/,155-bp-ultimate-acropolis-rally-of-greece-2008,2008.0
79,Sébastien Loeb,BP Ultimate Acropolis Rally of Greece,/entryinfo/155-bp-ultimate-acropolis-rally-of-greece-2008/15650/,2008,1,Null,155-bp-ultimate-acropolis-rally-of-greece-2008,126.0,127.0,/final/155-bp-ultimate-acropolis-rally-of-greece-2008/,155-bp-ultimate-acropolis-rally-of-greece-2008,2008.0
659,Mikko Hirvonen,Rally of Turkey,/entryinfo/156-rally-of-turkey-2008/16440/,2008,1,Null,156-rally-of-turkey-2008,127.0,128.0,/final/156-rally-of-turkey-2008/,156-rally-of-turkey-2008,2008.0
78,Sébastien Loeb,Rally of Turkey,/entryinfo/156-rally-of-turkey-2008/16438/,2008,3,Null,156-rally-of-turkey-2008,127.0,128.0,/final/156-rally-of-turkey-2008/,156-rally-of-turkey-2008,2008.0
658,Mikko Hirvonen,Neste Oil Rally Finland,/entryinfo/157-neste-oil-rally-finland-2008/17365/,2008,2,Null,157-neste-oil-rally-finland-2008,128.0,129.0,/final/157-neste-oil-rally-finland-2008/,157-neste-oil-rally-finland-2008,2008.0
343,Sébastien Ogier,Neste Oil Rally Finland,/entryinfo/157-neste-oil-rally-finland-2008/17429/,2008,3,Null,157-neste-oil-rally-finland-2008,128.0,129.0,/final/157-neste-oil-rally-finland-2008/,157-neste-oil-rally-finland-2008,2008.0
77,Sébastien Loeb,Neste Oil Rally Finland,/entryinfo/157-neste-oil-rally-finland-2008/17366/,2008,1,Null,157-neste-oil-rally-finland-2008,128.0,129.0,/final/157-neste-oil-rally-finland-2008/,157-neste-oil-rally-finland-2008,2008.0
657,Mikko Hirvonen,ADAC Rallye Deutschland,/entryinfo/158-adac-rallye-deutschland-2008/17476/,2008,4,Null,158-adac-rallye-deutschland-2008,129.0,130.0,/final/158-adac-rallye-deutschland-2008/,158-adac-rallye-deutschland-2008,2008.0
76,Sébastien Loeb,ADAC Rallye Deutschland,/entryinfo/158-adac-rallye-deutschland-2008/17474/,2008,1,Null,158-adac-rallye-deutschland-2008,129.0,130.0,/final/158-adac-rallye-deutschland-2008/,158-adac-rallye-deutschland-2008,2008.0
656,Mikko Hirvonen,Repco Rally New Zealand,/entryinfo/159-repco-rally-new-zealand-2008/18528/,2008,3,Null,159-repco-rally-new-zealand-2008,130.0,131.0,/final/159-repco-rally-new-zealand-2008/,159-repco-rally-new-zealand-2008,2008.0
