,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
354,Carlos Sainz,Rally of Turkey,/entryinfo/55-rally-of-turkey-2004/3251/,2004,4,Null,55-rally-of-turkey-2004,62.0,63.0,/final/55-rally-of-turkey-2004/,55-rally-of-turkey-2004,2004.0
138,Sébastien Loeb,CTI Movil Rally Argentina,/entryinfo/56-cti-movil-rally-argentina-2004/3169/,2004,2,Null,56-cti-movil-rally-argentina-2004,63.0,64.0,/final/56-cti-movil-rally-argentina-2004/,56-cti-movil-rally-argentina-2004,2004.0
713,Mikko Hirvonen,CTI Movil Rally Argentina,/entryinfo/56-cti-movil-rally-argentina-2004/3168/,2004,4,Null,56-cti-movil-rally-argentina-2004,63.0,64.0,/final/56-cti-movil-rally-argentina-2004/,56-cti-movil-rally-argentina-2004,2004.0
353,Carlos Sainz,CTI Movil Rally Argentina,/entryinfo/56-cti-movil-rally-argentina-2004/3170/,2004,1,Null,56-cti-movil-rally-argentina-2004,63.0,64.0,/final/56-cti-movil-rally-argentina-2004/,56-cti-movil-rally-argentina-2004,2004.0
352,Carlos Sainz,Neste Rally Finland,/entryinfo/57-neste-rally-finland-2004/2909/,2004,3,Null,57-neste-rally-finland-2004,64.0,65.0,/final/57-neste-rally-finland-2004/,57-neste-rally-finland-2004,2004.0
712,Mikko Hirvonen,Neste Rally Finland,/entryinfo/57-neste-rally-finland-2004/2907/,2004,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>",57-neste-rally-finland-2004,64.0,65.0,/final/57-neste-rally-finland-2004/,57-neste-rally-finland-2004,2004.0
137,Sébastien Loeb,Neste Rally Finland,/entryinfo/57-neste-rally-finland-2004/2908/,2004,4,Null,57-neste-rally-finland-2004,64.0,65.0,/final/57-neste-rally-finland-2004/,57-neste-rally-finland-2004,2004.0
136,Sébastien Loeb,OMV ADAC Rallye Deutschland,/entryinfo/58-omv-adac-rallye-deutschland-2004/2755/,2004,1,Null,58-omv-adac-rallye-deutschland-2004,65.0,66.0,/final/58-omv-adac-rallye-deutschland-2004/,58-omv-adac-rallye-deutschland-2004,2004.0
351,Carlos Sainz,OMV ADAC Rallye Deutschland,/entryinfo/58-omv-adac-rallye-deutschland-2004/2756/,2004,3,Null,58-omv-adac-rallye-deutschland-2004,65.0,66.0,/final/58-omv-adac-rallye-deutschland-2004/,58-omv-adac-rallye-deutschland-2004,2004.0
711,Mikko Hirvonen,OMV ADAC Rallye Deutschland,/entryinfo/58-omv-adac-rallye-deutschland-2004/2754/,2004,8,Null,58-omv-adac-rallye-deutschland-2004,65.0,66.0,/final/58-omv-adac-rallye-deutschland-2004/,58-omv-adac-rallye-deutschland-2004,2004.0
710,Mikko Hirvonen,Rally Japan,/entryinfo/59-rally-japan-2004/3396/,2004,7,Null,59-rally-japan-2004,66.0,67.0,/final/59-rally-japan-2004/,59-rally-japan-2004,2004.0
135,Sébastien Loeb,Rally Japan,/entryinfo/59-rally-japan-2004/3397/,2004,2,Null,59-rally-japan-2004,66.0,67.0,/final/59-rally-japan-2004/,59-rally-japan-2004,2004.0
