Driver,Serial,Race_Result
Sébastien Loeb,108.0,1.0
Sébastien Ogier,108.0,
Thierry Neuville,108.0,
Tommi Mäkinen,108.0,
Carlos Sainz,109.0,
Colin McRae,109.0,
Elfyn Evans,109.0,
Mikko Hirvonen,109.0,5.0
Ott Tänak,109.0,
Sébastien Loeb,109.0,1.0
Sébastien Ogier,109.0,
Thierry Neuville,109.0,
Tommi Mäkinen,109.0,
Carlos Sainz,110.0,
Colin McRae,110.0,
Elfyn Evans,110.0,
Mikko Hirvonen,110.0,3.0
Ott Tänak,110.0,
Sébastien Loeb,110.0,1.0
Sébastien Ogier,110.0,
Thierry Neuville,110.0,
Tommi Mäkinen,110.0,
Carlos Sainz,111.0,
Colin McRae,111.0,
Elfyn Evans,111.0,
Mikko Hirvonen,111.0,2.0
Ott Tänak,111.0,
Sébastien Loeb,111.0,
Sébastien Ogier,111.0,
Thierry Neuville,111.0,
Tommi Mäkinen,111.0,
Carlos Sainz,112.0,
Colin McRae,112.0,
Elfyn Evans,112.0,
Mikko Hirvonen,112.0,4.0
Ott Tänak,112.0,
Sébastien Loeb,112.0,2.0
Sébastien Ogier,112.0,
Thierry Neuville,112.0,
Tommi Mäkinen,112.0,
Carlos Sainz,113.0,
Colin McRae,113.0,
Elfyn Evans,113.0,
Mikko Hirvonen,113.0,2.0
Ott Tänak,113.0,
Sébastien Loeb,113.0,3.0
Sébastien Ogier,113.0,
Thierry Neuville,113.0,
Tommi Mäkinen,113.0,
Carlos Sainz,114.0,
Colin McRae,114.0,
Elfyn Evans,114.0,
Mikko Hirvonen,114.0,3.0
Ott Tänak,114.0,
Sébastien Loeb,114.0,1.0
Sébastien Ogier,114.0,
Thierry Neuville,114.0,
Tommi Mäkinen,114.0,
Carlos Sainz,115.0,
Colin McRae,115.0,
Elfyn Evans,115.0,
Mikko Hirvonen,115.0,3.0
Ott Tänak,115.0,
Sébastien Loeb,115.0,2.0
Sébastien Ogier,115.0,
Thierry Neuville,115.0,
Tommi Mäkinen,115.0,
Carlos Sainz,116.0,
Colin McRae,116.0,
Elfyn Evans,116.0,
Mikko Hirvonen,116.0,4.0
Ott Tänak,116.0,
Sébastien Loeb,116.0,1.0
Sébastien Ogier,116.0,
Thierry Neuville,116.0,
Tommi Mäkinen,116.0,
Carlos Sainz,117.0,
Colin McRae,117.0,
Elfyn Evans,117.0,
Mikko Hirvonen,117.0,1.0
Ott Tänak,117.0,
Sébastien Loeb,117.0,1.0
Sébastien Ogier,117.0,
Thierry Neuville,117.0,
Tommi Mäkinen,117.0,
Carlos Sainz,118.0,
Colin McRae,118.0,
Elfyn Evans,118.0,
Mikko Hirvonen,118.0,1.0
Ott Tänak,118.0,
Sébastien Loeb,118.0,
Sébastien Ogier,118.0,
Thierry Neuville,118.0,
Tommi Mäkinen,118.0,
Carlos Sainz,119.0,
Colin McRae,119.0,
Elfyn Evans,119.0,
Mikko Hirvonen,119.0,4.0
Ott Tänak,119.0,
Sébastien Loeb,119.0,1.0
Sébastien Ogier,119.0,
Thierry Neuville,119.0,
Tommi Mäkinen,119.0,
Carlos Sainz,120.0,
Colin McRae,120.0,
Elfyn Evans,120.0,
Mikko Hirvonen,120.0,1.0
Ott Tänak,120.0,
Sébastien Loeb,120.0,3.0
Sébastien Ogier,120.0,
Thierry Neuville,120.0,
Tommi Mäkinen,120.0,
Carlos Sainz,121.0,
Colin McRae,121.0,
Elfyn Evans,121.0,
Mikko Hirvonen,121.0,2.0
Ott Tänak,121.0,
Sébastien Loeb,121.0,1.0
Sébastien Ogier,121.0,
Thierry Neuville,121.0,
Tommi Mäkinen,121.0,
Carlos Sainz,122.0,
Colin McRae,122.0,
Elfyn Evans,122.0,
Mikko Hirvonen,122.0,2.0
Ott Tänak,122.0,
Sébastien Loeb,122.0,
Sébastien Ogier,122.0,
Thierry Neuville,122.0,
Tommi Mäkinen,122.0,
Carlos Sainz,123.0,
Colin McRae,123.0,
Elfyn Evans,123.0,
Mikko Hirvonen,123.0,4.0
Ott Tänak,123.0,
Sébastien Loeb,123.0,1.0
Sébastien Ogier,123.0,
Thierry Neuville,123.0,
Tommi Mäkinen,123.0,
Carlos Sainz,124.0,
Colin McRae,124.0,
Elfyn Evans,124.0,
Mikko Hirvonen,124.0,5.0
Ott Tänak,124.0,
Sébastien Loeb,124.0,1.0
Sébastien Ogier,124.0,
Thierry Neuville,124.0,
Tommi Mäkinen,124.0,
Carlos Sainz,125.0,
Colin McRae,125.0,
Elfyn Evans,125.0,
Mikko Hirvonen,125.0,1.0
Ott Tänak,125.0,
Sébastien Loeb,125.0,1.0
Sébastien Ogier,125.0,
Thierry Neuville,125.0,
Tommi Mäkinen,125.0,
Carlos Sainz,126.0,
Colin McRae,126.0,
Elfyn Evans,126.0,
Mikko Hirvonen,126.0,2.0
Ott Tänak,126.0,
Sébastien Loeb,126.0,1.0
Sébastien Ogier,126.0,
Thierry Neuville,126.0,
Tommi Mäkinen,126.0,
Carlos Sainz,127.0,
Colin McRae,127.0,
Elfyn Evans,127.0,
Mikko Hirvonen,127.0,3.0
Ott Tänak,127.0,
Sébastien Loeb,127.0,1.0
Sébastien Ogier,127.0,
Thierry Neuville,127.0,
Tommi Mäkinen,127.0,
Carlos Sainz,128.0,
Colin McRae,128.0,
Elfyn Evans,128.0,
Mikko Hirvonen,128.0,1.0
Ott Tänak,128.0,
Sébastien Loeb,128.0,3.0
Sébastien Ogier,128.0,
Thierry Neuville,128.0,
Tommi Mäkinen,128.0,
Carlos Sainz,129.0,
Colin McRae,129.0,
Elfyn Evans,129.0,
Mikko Hirvonen,129.0,2.0
Ott Tänak,129.0,
Sébastien Loeb,129.0,1.0
Sébastien Ogier,129.0,3.0
Thierry Neuville,129.0,
Tommi Mäkinen,129.0,
Carlos Sainz,130.0,
Colin McRae,130.0,
Elfyn Evans,130.0,
Mikko Hirvonen,130.0,4.0
Ott Tänak,130.0,
Sébastien Loeb,130.0,1.0
Sébastien Ogier,130.0,
Thierry Neuville,130.0,
Tommi Mäkinen,130.0,
Carlos Sainz,131.0,
Colin McRae,131.0,
Elfyn Evans,131.0,
Mikko Hirvonen,131.0,3.0
Ott Tänak,131.0,
Sébastien Loeb,131.0,1.0
Sébastien Ogier,131.0,
Thierry Neuville,131.0,
Tommi Mäkinen,131.0,
Carlos Sainz,132.0,
Colin McRae,132.0,
Elfyn Evans,132.0,
Mikko Hirvonen,132.0,3.0
Ott Tänak,132.0,
Sébastien Loeb,132.0,1.0
Sébastien Ogier,132.0,
Thierry Neuville,132.0,
Tommi Mäkinen,132.0,
Carlos Sainz,133.0,
Colin McRae,133.0,
Elfyn Evans,133.0,
Mikko Hirvonen,133.0,2.0
Ott Tänak,133.0,
Sébastien Loeb,133.0,1.0
Sébastien Ogier,133.0,
Thierry Neuville,133.0,
Tommi Mäkinen,133.0,
Carlos Sainz,134.0,
Colin McRae,134.0,
Elfyn Evans,134.0,
Mikko Hirvonen,134.0,1.0
Ott Tänak,134.0,
Sébastien Loeb,134.0,3.0
Sébastien Ogier,134.0,
Thierry Neuville,134.0,
Tommi Mäkinen,134.0,
Carlos Sainz,135.0,
Colin McRae,135.0,
Elfyn Evans,135.0,
Mikko Hirvonen,135.0,8.0
Ott Tänak,135.0,
Sébastien Loeb,135.0,1.0
Sébastien Ogier,135.0,2.0
Thierry Neuville,135.0,
Tommi Mäkinen,135.0,
Carlos Sainz,136.0,
Colin McRae,136.0,
Elfyn Evans,136.0,
Mikko Hirvonen,136.0,3.0
Ott Tänak,136.0,
Sébastien Loeb,136.0,1.0
Sébastien Ogier,136.0,6.0
Thierry Neuville,136.0,
Tommi Mäkinen,136.0,
Carlos Sainz,137.0,
Colin McRae,137.0,
Elfyn Evans,137.0,
Mikko Hirvonen,137.0,2.0
Ott Tänak,137.0,
Sébastien Loeb,137.0,1.0
Sébastien Ogier,137.0,1.0
Thierry Neuville,137.0,
Tommi Mäkinen,137.0,
Carlos Sainz,138.0,
Colin McRae,138.0,
Elfyn Evans,138.0,
Mikko Hirvonen,138.0,2.0
Ott Tänak,138.0,
Sébastien Loeb,138.0,1.0
Sébastien Ogier,138.0,
Thierry Neuville,138.0,
Tommi Mäkinen,138.0,
Carlos Sainz,139.0,
Colin McRae,139.0,
Elfyn Evans,139.0,
Mikko Hirvonen,139.0,2.0
Ott Tänak,139.0,2.0
Sébastien Loeb,139.0,1.0
Sébastien Ogier,139.0,1.0
Thierry Neuville,139.0,
Tommi Mäkinen,139.0,
Carlos Sainz,140.0,
Colin McRae,140.0,
Elfyn Evans,140.0,
Mikko Hirvonen,140.0,
Ott Tänak,140.0,
Sébastien Loeb,140.0,1.0
Sébastien Ogier,140.0,7.0
Thierry Neuville,140.0,
Tommi Mäkinen,140.0,
Carlos Sainz,141.0,
Colin McRae,141.0,
Elfyn Evans,141.0,
Mikko Hirvonen,141.0,2.0
Ott Tänak,141.0,
Sébastien Loeb,141.0,4.0
Sébastien Ogier,141.0,
Thierry Neuville,141.0,
Tommi Mäkinen,141.0,
Carlos Sainz,142.0,
Colin McRae,142.0,
Elfyn Evans,142.0,
Mikko Hirvonen,142.0,1.0
Ott Tänak,142.0,
Sébastien Loeb,142.0,
Sébastien Ogier,142.0,2.0
Thierry Neuville,142.0,
Tommi Mäkinen,142.0,
Carlos Sainz,143.0,
Colin McRae,143.0,
Elfyn Evans,143.0,
Mikko Hirvonen,143.0,1.0
Ott Tänak,143.0,
Sébastien Loeb,143.0,7.0
Sébastien Ogier,143.0,
Thierry Neuville,143.0,
Tommi Mäkinen,143.0,
Carlos Sainz,144.0,
Colin McRae,144.0,
Elfyn Evans,144.0,
Mikko Hirvonen,144.0,1.0
Ott Tänak,144.0,
Sébastien Loeb,144.0,2.0
Sébastien Ogier,144.0,6.0
Thierry Neuville,144.0,
Tommi Mäkinen,144.0,
Carlos Sainz,145.0,
Colin McRae,145.0,
Elfyn Evans,145.0,
Mikko Hirvonen,145.0,1.0
Ott Tänak,145.0,
Sébastien Loeb,145.0,2.0
Sébastien Ogier,145.0,5.0
Thierry Neuville,145.0,
Tommi Mäkinen,145.0,
Carlos Sainz,146.0,
Colin McRae,146.0,
Elfyn Evans,146.0,
Mikko Hirvonen,146.0,3.0
Ott Tänak,146.0,
Sébastien Loeb,146.0,1.0
Sébastien Ogier,146.0,5.0
Thierry Neuville,146.0,
Tommi Mäkinen,146.0,
Carlos Sainz,147.0,
Colin McRae,147.0,
Elfyn Evans,147.0,
Mikko Hirvonen,147.0,2.0
Ott Tänak,147.0,
Sébastien Loeb,147.0,1.0
Sébastien Ogier,147.0,
Thierry Neuville,147.0,
Tommi Mäkinen,147.0,
Carlos Sainz,148.0,
Colin McRae,148.0,
Elfyn Evans,148.0,
Mikko Hirvonen,148.0,1.0
Ott Tänak,148.0,
Sébastien Loeb,148.0,2.0
Sébastien Ogier,148.0,5.0
Thierry Neuville,148.0,
Tommi Mäkinen,148.0,
Carlos Sainz,149.0,
Colin McRae,149.0,
Elfyn Evans,149.0,
Mikko Hirvonen,149.0,4.0
Ott Tänak,149.0,
Sébastien Loeb,149.0,1.0
Sébastien Ogier,149.0,3.0
Thierry Neuville,149.0,
Tommi Mäkinen,149.0,
Carlos Sainz,150.0,
Colin McRae,150.0,
Elfyn Evans,150.0,
Mikko Hirvonen,150.0,2.0
Ott Tänak,150.0,
Sébastien Loeb,150.0,1.0
Sébastien Ogier,150.0,6.0
Thierry Neuville,150.0,
Tommi Mäkinen,150.0,
Carlos Sainz,151.0,
Colin McRae,151.0,
Elfyn Evans,151.0,
Mikko Hirvonen,151.0,3.0
Ott Tänak,151.0,
Sébastien Loeb,151.0,1.0
Sébastien Ogier,151.0,4.0
Thierry Neuville,151.0,
Tommi Mäkinen,151.0,
Carlos Sainz,152.0,
Colin McRae,152.0,
Elfyn Evans,152.0,
Mikko Hirvonen,152.0,4.0
Ott Tänak,152.0,
Sébastien Loeb,152.0,3.0
Sébastien Ogier,152.0,2.0
Thierry Neuville,152.0,
Tommi Mäkinen,152.0,
Carlos Sainz,153.0,
Colin McRae,153.0,
Elfyn Evans,153.0,
Mikko Hirvonen,153.0,4.0
Ott Tänak,153.0,
Sébastien Loeb,153.0,2.0
Sébastien Ogier,153.0,1.0
Thierry Neuville,153.0,
Tommi Mäkinen,153.0,
Carlos Sainz,154.0,
Colin McRae,154.0,
Elfyn Evans,154.0,
Mikko Hirvonen,154.0,5.0
Ott Tänak,154.0,
Sébastien Loeb,154.0,1.0
Sébastien Ogier,154.0,4.0
Thierry Neuville,154.0,
Tommi Mäkinen,154.0,
Carlos Sainz,155.0,
Colin McRae,155.0,
Elfyn Evans,155.0,
Mikko Hirvonen,155.0,
Ott Tänak,155.0,
Sébastien Loeb,155.0,3.0
Sébastien Ogier,155.0,2.0
Thierry Neuville,155.0,
Tommi Mäkinen,155.0,
Carlos Sainz,156.0,
Colin McRae,156.0,
Elfyn Evans,156.0,
Mikko Hirvonen,156.0,
Ott Tänak,156.0,
Sébastien Loeb,156.0,1.0
Sébastien Ogier,156.0,3.0
Thierry Neuville,156.0,
Tommi Mäkinen,156.0,
Carlos Sainz,157.0,
Colin McRae,157.0,
Elfyn Evans,157.0,
Mikko Hirvonen,157.0,6.0
Ott Tänak,157.0,
Sébastien Loeb,157.0,5.0
Sébastien Ogier,157.0,1.0
Thierry Neuville,157.0,
Tommi Mäkinen,157.0,
Carlos Sainz,158.0,
Colin McRae,158.0,
Elfyn Evans,158.0,
Mikko Hirvonen,158.0,5.0
Ott Tänak,158.0,
Sébastien Loeb,158.0,1.0
Sébastien Ogier,158.0,6.0
Thierry Neuville,158.0,
Tommi Mäkinen,158.0,
Carlos Sainz,159.0,
Colin McRae,159.0,
Elfyn Evans,159.0,
Mikko Hirvonen,159.0,5.0
Ott Tänak,159.0,
Sébastien Loeb,159.0,1.0
Sébastien Ogier,159.0,1.0
Thierry Neuville,159.0,
Tommi Mäkinen,159.0,
Carlos Sainz,160.0,
Colin McRae,160.0,
Elfyn Evans,160.0,
Mikko Hirvonen,160.0,4.0
Ott Tänak,160.0,
Sébastien Loeb,160.0,1.0
Sébastien Ogier,160.0,
Thierry Neuville,160.0,
Tommi Mäkinen,160.0,
Carlos Sainz,161.0,
Colin McRae,161.0,
Elfyn Evans,161.0,
Mikko Hirvonen,161.0,1.0
Ott Tänak,161.0,
Sébastien Loeb,161.0,6.0
Sébastien Ogier,161.0,4.0
Thierry Neuville,161.0,
Tommi Mäkinen,161.0,
Carlos Sainz,162.0,
Colin McRae,162.0,
Elfyn Evans,162.0,
Mikko Hirvonen,162.0,2.0
Ott Tänak,162.0,
Sébastien Loeb,162.0,1.0
Sébastien Ogier,162.0,
Thierry Neuville,162.0,
Tommi Mäkinen,162.0,
Carlos Sainz,163.0,
Colin McRae,163.0,
Elfyn Evans,163.0,
Mikko Hirvonen,163.0,4.0
Ott Tänak,163.0,
Sébastien Loeb,163.0,2.0
Sébastien Ogier,163.0,1.0
Thierry Neuville,163.0,
Tommi Mäkinen,163.0,
Carlos Sainz,164.0,
Colin McRae,164.0,
Elfyn Evans,164.0,
Mikko Hirvonen,164.0,4.0
Ott Tänak,164.0,
Sébastien Loeb,164.0,3.0
Sébastien Ogier,164.0,1.0
Thierry Neuville,164.0,
Tommi Mäkinen,164.0,
Carlos Sainz,165.0,
Colin McRae,165.0,
Elfyn Evans,165.0,
Mikko Hirvonen,165.0,2.0
Ott Tänak,165.0,
Sébastien Loeb,165.0,1.0
Sébastien Ogier,165.0,4.0
Thierry Neuville,165.0,
Tommi Mäkinen,165.0,
Carlos Sainz,166.0,
Colin McRae,166.0,
Elfyn Evans,166.0,
Mikko Hirvonen,166.0,2.0
Ott Tänak,166.0,
Sébastien Loeb,166.0,1.0
Sébastien Ogier,166.0,3.0
Thierry Neuville,166.0,
Tommi Mäkinen,166.0,
Carlos Sainz,167.0,
Colin McRae,167.0,
Elfyn Evans,167.0,
Mikko Hirvonen,167.0,3.0
Ott Tänak,167.0,
Sébastien Loeb,167.0,2.0
Sébastien Ogier,167.0,1.0
Thierry Neuville,167.0,
Tommi Mäkinen,167.0,
Carlos Sainz,168.0,
Colin McRae,168.0,
Elfyn Evans,168.0,
Mikko Hirvonen,168.0,4.0
Ott Tänak,168.0,
Sébastien Loeb,168.0,1.0
Sébastien Ogier,168.0,3.0
Thierry Neuville,168.0,
Tommi Mäkinen,168.0,
Carlos Sainz,169.0,
Colin McRae,169.0,
Elfyn Evans,169.0,
Mikko Hirvonen,169.0,4.0
Ott Tänak,169.0,
Sébastien Loeb,169.0,2.0
Sébastien Ogier,169.0,1.0
Thierry Neuville,169.0,
Tommi Mäkinen,169.0,
Carlos Sainz,170.0,
Colin McRae,170.0,
Elfyn Evans,170.0,
Mikko Hirvonen,170.0,1.0
Ott Tänak,170.0,
Sébastien Loeb,170.0,1.0
Sébastien Ogier,170.0,1.0
Thierry Neuville,170.0,
Tommi Mäkinen,170.0,
Carlos Sainz,171.0,
Colin McRae,171.0,
Elfyn Evans,171.0,1.0
Mikko Hirvonen,171.0,3.0
Ott Tänak,171.0,
Sébastien Loeb,171.0,
Sébastien Ogier,171.0,1.0
Thierry Neuville,171.0,
Tommi Mäkinen,171.0,
Carlos Sainz,172.0,
Colin McRae,172.0,
Elfyn Evans,172.0,
Mikko Hirvonen,172.0,2.0
Ott Tänak,172.0,
Sébastien Loeb,172.0,1.0
Sébastien Ogier,172.0,
Thierry Neuville,172.0,
Tommi Mäkinen,172.0,
Carlos Sainz,173.0,
Colin McRae,173.0,
Elfyn Evans,173.0,
Mikko Hirvonen,173.0,
Ott Tänak,173.0,6.0
Sébastien Loeb,173.0,
Sébastien Ogier,173.0,1.0
Thierry Neuville,173.0,
Tommi Mäkinen,173.0,
Carlos Sainz,174.0,
Colin McRae,174.0,
Elfyn Evans,174.0,
Mikko Hirvonen,174.0,4.0
Ott Tänak,174.0,8.0
Sébastien Loeb,174.0,1.0
Sébastien Ogier,174.0,
Thierry Neuville,174.0,
Tommi Mäkinen,174.0,
Carlos Sainz,175.0,
Colin McRae,175.0,
Elfyn Evans,175.0,
Mikko Hirvonen,175.0,2.0
Ott Tänak,175.0,
Sébastien Loeb,175.0,6.0
Sébastien Ogier,175.0,1.0
Thierry Neuville,175.0,1.0
Tommi Mäkinen,175.0,
Carlos Sainz,176.0,
Colin McRae,176.0,
Elfyn Evans,176.0,
Mikko Hirvonen,176.0,2.0
Ott Tänak,176.0,5.0
Sébastien Loeb,176.0,1.0
Sébastien Ogier,176.0,8.0
Thierry Neuville,176.0,1.0
Tommi Mäkinen,176.0,
Carlos Sainz,177.0,
Colin McRae,177.0,
Elfyn Evans,177.0,
Mikko Hirvonen,177.0,
Ott Tänak,177.0,1.0
Sébastien Loeb,177.0,
Sébastien Ogier,177.0,7.0
Thierry Neuville,177.0,8.0
Tommi Mäkinen,177.0,
Carlos Sainz,178.0,
Colin McRae,178.0,
Elfyn Evans,178.0,
Mikko Hirvonen,178.0,2.0
Ott Tänak,178.0,1.0
Sébastien Loeb,178.0,1.0
Sébastien Ogier,178.0,7.0
Thierry Neuville,178.0,5.0
Tommi Mäkinen,178.0,
Carlos Sainz,179.0,
Colin McRae,179.0,
Elfyn Evans,179.0,
Mikko Hirvonen,179.0,2.0
Ott Tänak,179.0,9.0
Sébastien Loeb,179.0,1.0
Sébastien Ogier,179.0,7.0
Thierry Neuville,179.0,6.0
Tommi Mäkinen,179.0,
Carlos Sainz,180.0,
Colin McRae,180.0,
Elfyn Evans,180.0,
Mikko Hirvonen,180.0,2.0
Ott Tänak,180.0,
Sébastien Loeb,180.0,1.0
Sébastien Ogier,180.0,
Thierry Neuville,180.0,5.0
Tommi Mäkinen,180.0,
Carlos Sainz,181.0,
Colin McRae,181.0,
Elfyn Evans,181.0,
Mikko Hirvonen,181.0,2.0
Ott Tänak,181.0,6.0
Sébastien Loeb,181.0,1.0
Sébastien Ogier,181.0,1.0
Thierry Neuville,181.0,1.0
Tommi Mäkinen,181.0,
Carlos Sainz,182.0,
Colin McRae,182.0,
Elfyn Evans,182.0,
Mikko Hirvonen,182.0,3.0
Ott Tänak,182.0,
Sébastien Loeb,182.0,1.0
Sébastien Ogier,182.0,6.0
Thierry Neuville,182.0,1.0
Tommi Mäkinen,182.0,
Carlos Sainz,183.0,
Colin McRae,183.0,
Elfyn Evans,183.0,
Mikko Hirvonen,183.0,5.0
Ott Tänak,183.0,
Sébastien Loeb,183.0,2.0
Sébastien Ogier,183.0,1.0
Thierry Neuville,183.0,7.0
Tommi Mäkinen,183.0,
Carlos Sainz,184.0,
Colin McRae,184.0,
Elfyn Evans,184.0,
Mikko Hirvonen,184.0,3.0
Ott Tänak,184.0,6.0
Sébastien Loeb,184.0,1.0
Sébastien Ogier,184.0,1.0
Thierry Neuville,184.0,4.0
Tommi Mäkinen,184.0,
Carlos Sainz,185.0,
Colin McRae,185.0,
Elfyn Evans,185.0,
Mikko Hirvonen,185.0,1.0
Ott Tänak,185.0,3.0
Sébastien Loeb,185.0,
Sébastien Ogier,185.0,5.0
Thierry Neuville,185.0,1.0
Tommi Mäkinen,185.0,
Carlos Sainz,186.0,
Colin McRae,186.0,
Elfyn Evans,186.0,
Mikko Hirvonen,186.0,3.0
Ott Tänak,186.0,
Sébastien Loeb,186.0,1.0
Sébastien Ogier,186.0,
Thierry Neuville,186.0,1.0
Tommi Mäkinen,186.0,
Carlos Sainz,187.0,
Colin McRae,187.0,
Elfyn Evans,187.0,
Mikko Hirvonen,187.0,4.0
Ott Tänak,187.0,
Sébastien Loeb,187.0,1.0
Sébastien Ogier,187.0,2.0
Thierry Neuville,187.0,
Tommi Mäkinen,187.0,
Carlos Sainz,188.0,
Colin McRae,188.0,
Elfyn Evans,188.0,
Mikko Hirvonen,188.0,1.0
Ott Tänak,188.0,
Sébastien Loeb,188.0,2.0
Sébastien Ogier,188.0,1.0
Thierry Neuville,188.0,5.0
Tommi Mäkinen,188.0,
Carlos Sainz,189.0,
Colin McRae,189.0,
Elfyn Evans,189.0,
Mikko Hirvonen,189.0,2.0
Ott Tänak,189.0,
Sébastien Loeb,189.0,
Sébastien Ogier,189.0,1.0
Thierry Neuville,189.0,3.0
Tommi Mäkinen,189.0,
Carlos Sainz,190.0,
Colin McRae,190.0,
Elfyn Evans,190.0,
Mikko Hirvonen,190.0,2.0
Ott Tänak,190.0,
Sébastien Loeb,190.0,
Sébastien Ogier,190.0,1.0
Thierry Neuville,190.0,1.0
Tommi Mäkinen,190.0,
Carlos Sainz,191.0,
Colin McRae,191.0,
Elfyn Evans,191.0,
Mikko Hirvonen,191.0,6.0
Ott Tänak,191.0,
Sébastien Loeb,191.0,1.0
Sébastien Ogier,191.0,2.0
Thierry Neuville,191.0,5.0
Tommi Mäkinen,191.0,
Carlos Sainz,192.0,
Colin McRae,192.0,
Elfyn Evans,192.0,
Mikko Hirvonen,192.0,8.0
Ott Tänak,192.0,
Sébastien Loeb,192.0,
Sébastien Ogier,192.0,1.0
Thierry Neuville,192.0,3.0
Tommi Mäkinen,192.0,
Carlos Sainz,193.0,
Colin McRae,193.0,
Elfyn Evans,193.0,6.0
Mikko Hirvonen,193.0,
Ott Tänak,193.0,
Sébastien Loeb,193.0,
Sébastien Ogier,193.0,1.0
Thierry Neuville,193.0,2.0
Tommi Mäkinen,193.0,
Carlos Sainz,194.0,
Colin McRae,194.0,
Elfyn Evans,194.0,
Mikko Hirvonen,194.0,4.0
Ott Tänak,194.0,
Sébastien Loeb,194.0,
Sébastien Ogier,194.0,1.0
Thierry Neuville,194.0,2.0
Tommi Mäkinen,194.0,
Carlos Sainz,195.0,
Colin McRae,195.0,
Elfyn Evans,195.0,
Mikko Hirvonen,195.0,3.0
Ott Tänak,195.0,
Sébastien Loeb,195.0,
Sébastien Ogier,195.0,1.0
Thierry Neuville,195.0,2.0
Tommi Mäkinen,195.0,
Carlos Sainz,196.0,
Colin McRae,196.0,
Elfyn Evans,196.0,
Mikko Hirvonen,196.0,3.0
Ott Tänak,196.0,
Sébastien Loeb,196.0,
Sébastien Ogier,196.0,1.0
Thierry Neuville,196.0,2.0
Tommi Mäkinen,196.0,
Carlos Sainz,197.0,
Colin McRae,197.0,
Elfyn Evans,197.0,
Mikko Hirvonen,197.0,6.0
Ott Tänak,197.0,
Sébastien Loeb,197.0,
Sébastien Ogier,197.0,1.0
Thierry Neuville,197.0,4.0
Tommi Mäkinen,197.0,
Carlos Sainz,198.0,
Colin McRae,198.0,
Elfyn Evans,198.0,
Mikko Hirvonen,198.0,3.0
Ott Tänak,198.0,
Sébastien Loeb,198.0,
Sébastien Ogier,198.0,1.0
Thierry Neuville,198.0,4.0
Tommi Mäkinen,198.0,
Carlos Sainz,199.0,
Colin McRae,199.0,
Elfyn Evans,199.0,
Mikko Hirvonen,199.0,
Ott Tänak,199.0,
Sébastien Loeb,199.0,
Sébastien Ogier,199.0,1.0
Thierry Neuville,199.0,3.0
Tommi Mäkinen,199.0,
Carlos Sainz,200.0,
Colin McRae,200.0,
Elfyn Evans,200.0,6.0
Mikko Hirvonen,200.0,
Ott Tänak,200.0,
Sébastien Loeb,200.0,
Sébastien Ogier,200.0,1.0
Thierry Neuville,200.0,
Tommi Mäkinen,200.0,
Carlos Sainz,201.0,
Colin McRae,201.0,
Elfyn Evans,201.0,
Mikko Hirvonen,201.0,4.0
Ott Tänak,201.0,5.0
Sébastien Loeb,201.0,
Sébastien Ogier,201.0,6.0
Thierry Neuville,201.0,2.0
Tommi Mäkinen,201.0,
Carlos Sainz,202.0,
Colin McRae,202.0,
Elfyn Evans,202.0,4.0
Mikko Hirvonen,202.0,8.0
Ott Tänak,202.0,
Sébastien Loeb,202.0,
Sébastien Ogier,202.0,1.0
Thierry Neuville,202.0,3.0
Tommi Mäkinen,202.0,
Carlos Sainz,203.0,
Colin McRae,203.0,
Elfyn Evans,203.0,2.0
Mikko Hirvonen,203.0,2.0
Ott Tänak,203.0,
Sébastien Loeb,203.0,
Sébastien Ogier,203.0,1.0
Thierry Neuville,203.0,7.0
Tommi Mäkinen,203.0,
Carlos Sainz,204.0,
Colin McRae,204.0,
Elfyn Evans,204.0,7.0
Mikko Hirvonen,204.0,9.0
Ott Tänak,204.0,
Sébastien Loeb,204.0,
Sébastien Ogier,204.0,2.0
Thierry Neuville,204.0,5.0
Tommi Mäkinen,204.0,
Carlos Sainz,205.0,
Colin McRae,205.0,
Elfyn Evans,205.0,5.0
Mikko Hirvonen,205.0,
Ott Tänak,205.0,
Sébastien Loeb,205.0,
Sébastien Ogier,205.0,1.0
Thierry Neuville,205.0,1.0
Tommi Mäkinen,205.0,
Carlos Sainz,206.0,
Colin McRae,206.0,
Elfyn Evans,206.0,3.0
Mikko Hirvonen,206.0,4.0
Ott Tänak,206.0,
Sébastien Loeb,206.0,
Sébastien Ogier,206.0,1.0
Thierry Neuville,206.0,3.0
Tommi Mäkinen,206.0,
Carlos Sainz,207.0,
Colin McRae,207.0,
Elfyn Evans,207.0,7.0
Mikko Hirvonen,207.0,5.0
Ott Tänak,207.0,
Sébastien Loeb,207.0,
Sébastien Ogier,207.0,2.0
Thierry Neuville,207.0,
Tommi Mäkinen,207.0,
Carlos Sainz,208.0,
Colin McRae,208.0,
Elfyn Evans,208.0,4.0
Mikko Hirvonen,208.0,5.0
Ott Tänak,208.0,
Sébastien Loeb,208.0,
Sébastien Ogier,208.0,
Thierry Neuville,208.0,1.0
Tommi Mäkinen,208.0,
Carlos Sainz,209.0,
Colin McRae,209.0,
Elfyn Evans,209.0,8.0
Mikko Hirvonen,209.0,5.0
Ott Tänak,209.0,
Sébastien Loeb,209.0,
Sébastien Ogier,209.0,1.0
Thierry Neuville,209.0,7.0
Tommi Mäkinen,209.0,
Carlos Sainz,210.0,
Colin McRae,210.0,
